id,object_type,rights_statement,title,handle_link,format,archival_collection,notes,railroad,map_type,creator,publisher,region,waterway,states,regions,counties,cities,extent,display_date,start_date,path,files
BC 121,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Patapsco River Area,,http://vocab.lib.umd.edu/form#maps,,Originally bound with: Maryland QH301.C47 no.43.,,Regional maps,,United States Maritime Commission,,,,,,Baltimore City,1 sheet,1941,1941,patapsco-river-area,
BC 124,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Homeland,,http://vocab.lib.umd.edu/form#maps,,,,Land use maps,,Roland Park Company,,,,,,Baltimore City,1 sheet,1941,1941,homeland,maryland-maps/maps/1941/01/bc124-oversize.jpg/bc124-oversize_original.jpg
MD 149,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Maryland: Minor Civil Divisions, Election Districts",,http://vocab.lib.umd.edu/form#maps,,,,Regional maps,,U.S. Bureau of the Census.,,,Maryland,,,,1 sheet,1941,1941,maryland-minor-civil002,
MD 024,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"A Horse Map of Maryland, Showing all Phases of Horse Activity",,http://vocab.lib.umd.edu/form#maps,,,,Thematic Map,,Maryland Horse Breeder's Association,,,Maryland,,,,1 sheet,1941,1941,a-horse-map-of-maryland,maryland-maps/maps/2008/12/md024d.jpg/md024d_original.jpg
MO 026,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map of Montgomery County and the District of Columbia Showing the Topography and Election Districts,,http://vocab.lib.umd.edu/form#maps,,,,Topographic maps,,Maryland Geological Survey,,,,,Montgomery County,,1 sheet,1941,1941,map-of-montgomery-county003,
TA 004,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map of Talbot County Showing Topography and Election Districts(2),,http://vocab.lib.umd.edu/form#maps,,,,Regional Maps,,"Maryland Department of Geology, Mines and Water Resources",,,,,Talbot County,,1 sheet,1941,1941,map-of-talbot-county-showing003,
WA 017,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Geologic Map of Washington County, 1941",,http://vocab.lib.umd.edu/form#maps,,,,Geologic maps,,Maryland Geological Survey,,,,,Washington County,,1 sheet,1941,1941,geologic-map-of-washington,
DO 040,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Chicamacomico Quadrangle,,http://vocab.lib.umd.edu/form#maps,,,,Quadrangle maps,,U.S. Geological Survey,,,,,Dorchester County,,1 sheet,1942,1942,chicamacomico-quadrangle,
SO 028,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Princess Anne Quadrangle,,http://vocab.lib.umd.edu/form#maps,,,,Quadrangle maps,,U.S. Geological Survey,,,,,Somerset County,,1 sheet,1942,1942,princess-anne-quadrangle,
SO 032,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Kingston Quadrangle,,http://vocab.lib.umd.edu/form#maps,,,,Quadrangle maps,,U.S. Geological Survey,,,,,Somerset County,,1 sheet,1942,1942,kingston-quadrangle,
SO 034,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Great Fox Island Quadrangle,,http://vocab.lib.umd.edu/form#maps,,"Includes portion of Accomack County, Virginia.",,Topographic maps,,U.S. Geological Survey,,,,,Somerset County,,1 sheet,"[1942, 1968, 1986]","1942, 1968, 1986",great-fox-island-quadrangle,
SO 036,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Eden Quadrangle,,http://vocab.lib.umd.edu/form#maps,,"Includes large portion of Wicomico County, Maryland",,Quadrangle maps,,U.S. Geological Survey,,,,,Somerset County,,1 sheet,1942,1942,eden-quadrangle,
TA 027,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Trappe Quadrangle,,http://vocab.lib.umd.edu/form#maps,,,,Topographic maps,,U.S. Geological Survey,,,,,Talbot County,,1 sheet,"[1942, 1974, 1988]","1942, 1974, 1988",trappe-quadrangle,
TA 029,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,St. Michaels Quadrangle,,http://vocab.lib.umd.edu/form#maps,,,,Topographic maps,,U.S. Geological Survey,,,,,Talbot County,,1 sheet,"[1942, 1974, 1986]","1942, 1974, 1986",st.-michaels-quadrangle,
TA 030,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Sharps Island Quadrangle,,http://vocab.lib.umd.edu/form#maps,,"Includes large portion of Dorchester County, Maryland.",,Quadrangle maps,,U.S. Geological Survey,,,,,Dorchester County,,1 sheet,1942,1942,sharps-island-quadrangle,
TA 031,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Oxford Quadrangle,,http://vocab.lib.umd.edu/form#maps,,,,Topographic maps,,U.S. Geological Survey,,,,,Talbot County,,1 sheet,"[1942, 1988]","1942, 1988",oxford-quadrangle,
WI 028,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Wango Quadrangle,,http://vocab.lib.umd.edu/form#maps,,"Includes portion of Worcester County, Maryland.",,Topographic maps,,U.S. Geological Survey,,,,,Wicomico County,,1 sheet,1942,1942,wango-quadrangle,
WO 045,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Ocean City Quadrangle,,http://vocab.lib.umd.edu/form#maps,,,,Topographic maps,,U.S. Geological Survey,,,,,Worcester County,,1 sheet,"[1942, 1972, 1998]","1942, 1972, 1998",ocean-city-quadrangle,
BC 149,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Baltimore City: 3rd Ward,,http://vocab.lib.umd.edu/form#maps,,"Includes boundaries of precincts, delineated by color.",,Regional maps,,Bureau of Plans and Surveys,,,,,,Baltimore City,1 sheet,1942,1942,baltimore-city-3rd-ward,
BC 152,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Baltimore City. 6th Ward,,http://vocab.lib.umd.edu/form#maps,,"2 copies, copy 2 has color coded district boundaries.",,Regional maps,,Bureau of Plans and Surveys,,,,,,Baltimore City,1 sheet,1942,1942,baltimore-city.-6th-ward,
BC 151,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Baltimore City. 5th Ward,,http://vocab.lib.umd.edu/form#maps,,Includes boundaries of precincts delineated by color.,,Regional maps,,Bureau of Plans and Surveys,,,,,,Baltimore City,1 sheet,1942,1942,baltimore-city.-5th-ward,
BC 150,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Baltimore City: 4th Ward,,http://vocab.lib.umd.edu/form#maps,,"Includes boundaries of precincts, delineated by color.",,Regional maps,,Bureau of Plans and Surveys,,,,,,Baltimore City,1 sheet,1942,1942,baltimore-city-4th-ward,
BC 153,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Baltimore City. 8th Ward,,http://vocab.lib.umd.edu/form#maps,,,,Regional maps,,Bureau of Plans and Surveys,,,,,,Baltimore City,1 sheet,1942,1942,baltimore-city.-8th-ward,
BC 154,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Baltimore City. 13th Ward,,http://vocab.lib.umd.edu/form#maps,,,,Regional maps,,Bureau of Plans and Surveys,,,,,,Baltimore City,1 sheet,1942,1942,baltimore-city.-13th-ward,
BC 155,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Baltimore City. 19th Ward,,http://vocab.lib.umd.edu/form#maps,,,,Regional maps,,Bureau of Plans and Surveys,,,,,,Baltimore City,1 sheet,1942,1942,baltimore-city.-19th-ward,
BC 156,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Baltimore City. 23rd Ward,,http://vocab.lib.umd.edu/form#maps,,Includes precinct boundaries delineated in color.,,Regional maps,,Bureau of Plans and Surveys,,,,,,Baltimore City,1 sheet,1942,1942,baltimore-city.-23rd-ward,
BC 157,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Baltimore City. 24th Ward,,http://vocab.lib.umd.edu/form#maps,,Includes precinct boundaries delineated in color.,,Regional maps,,Bureau of Plans and Surveys,,,,,,Baltimore City,1 sheet,1942,1942,baltimore-city.-24th-ward,
BC 177,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Baltimore City. 14th Ward Showing Precinct Boundaries,,http://vocab.lib.umd.edu/form#maps,,Includes 2 copies: Copy 1 is dated 1961 and has precinct boundaries in color. Copy 2 is dated 1942 and has precinct boundaries in color.,,Regional maps,,Board of Supervisors of Elections,,,,,,Baltimore City,1 sheet,"[1942, 1961]","1942, 1961",baltimore-city.-14th-ward,
CB 008,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Chesapeake Bay, Sandy Point to Head of Bay",,http://vocab.lib.umd.edu/form#maps,,10th edition,,Regional Map,,United States Coast and Geodetic Survey,,Chesapeake Bay,,,,,1 sheet,1942,1942,chesapeake-bay-sandy,
DC 023,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Trees and Shrubs of Farragut Square,,http://vocab.lib.umd.edu/form#maps,,,,Forestry Map,,National Park Service (U.S.),,,District of Columbia,,,,1 sheet,1942,1942,trees-and-shrubs-of-farragut,
PG 056,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Proposed Routes of Car and Bus Lines in Prince George's County,,http://vocab.lib.umd.edu/form#maps,,,,Transportation maps,,Capital Transit Company,,,,,Prince George's County,,1 sheet,1942,1942,proposed-routes-of-car,
PG 057,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Present Routes of Car and Bus Lines in Prince George's County,,http://vocab.lib.umd.edu/form#maps,,,,Transportation maps,,Capital Transit Company,,,,,Prince George's County,,1 sheet,1942,1942,present-routes-of-car,
RC 009,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Rock Creek Park, Washington D.C.",,http://vocab.lib.umd.edu/form#maps,,Includes descriptive information on the park's history and recreational facilities.,,Regional maps,,National Park Service (U.S.),,,,,,,1 sheet,1942,1942,rock-creek-park-washington,
DC 012,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map of Present Boundary Lines of the Maryland,,http://vocab.lib.umd.edu/form#maps,,,,Regional Map,,Maryland-National Capital Park and Planning Commission,,,District of Columbia,,,,1 sheet,1943,1943,map-of-present-boundary,
DC 007,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map of D.C. and Adjacent Areas of Maryland and Virginia.,,http://vocab.lib.umd.edu/form#maps,,,,Regional Map,,U.S. Army. Map Service.,,,District of Columbia,,,,2 sheets,1943,1943,map-of-d.c.-and-adjacent,
BO 005,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Natural Resources in New York, Pennsylvania, Maryland, Virginia",,http://vocab.lib.umd.edu/form#maps,,,Baltimore and Ohio Railroad,Transportation maps,,Baltimore & Ohio Railroad Company,,,,,,,1 sheet,1944~,1944 (circa),natural-resources-in-new,
MD/VA 009,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map Showing Areas and Structures of the High Plateau of Coastal Plain in Parts of Maryland and Virginia,,http://vocab.lib.umd.edu/form#maps,,"From the Bulletin of the Geological Society of America, vol. 62, plate 4.",,,,"Darton, N.H.",,,Maryland and Virginia,,,,1 sheet,1944,1944,map-showing-areas-and,
PRI 012,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map Showing Access to Towpath Along Chesapeake and Ohio Canal Between Georgetown and Cabin John,,http://vocab.lib.umd.edu/form#maps,,,,Regional maps,,U.S. Dept. of Interior,,Potomac River,,,,,1 sheet,1944,1944,map-showing-access-to,
ROC 004,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Maryland: Rockville Quadrangle, 1944",,http://vocab.lib.umd.edu/form#maps,,,,Topographic maps,,Geological Survey (U.S.),,,,,,Rockville,1 sheet,1944,1944,maryland-rockville-quadrangle,
WA 002,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map of Washington County Showing the Topography and Election Districts,,http://vocab.lib.umd.edu/form#maps,,Two maps,,Regional maps,,"Maryland Department of Geology, Mines and Water Resources",,,,,Washington County,,1 sheet,"[1944, 1961]","1944, 1961",map-of-washington-county003,
DC 054,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Washington East Quadrangle,,http://vocab.lib.umd.edu/form#maps,,"Includes large portion of Prince George's County, Maryland.",,Topographic maps,,U.S. Geological Survey,,,District of Columbia,,Prince George's County,,1 sheet,"[1945, 1982]","1945, 1982",washington-east-quadrangle,
DC 055,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Washington West Quadrangle,,http://vocab.lib.umd.edu/form#maps,,"Includes portion of Montgomery County, Maryland.",,Topographic maps,,U.S. Geological Survey,,,District of Columbia,,,,1 sheet,"[1945, 1965, 1982]","1945, 1965, 1982",washington-west-quadrangle,
WA 044,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Williamsport Quadrangle, 1945",,http://vocab.lib.umd.edu/form#maps,,"Includes portion of Franklin County, Pennsylvania and Berkeley County, West Virginia.",,Quadrangle maps,,U.S. Geological Survey,,,,,Washington County,,1 sheet,1945,1945,williamsport-quadrangle,
WA 046,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Hagerstown Quadrangle, 1945",,http://vocab.lib.umd.edu/form#maps,,"Includes portion of Franklin County, Pennsylvania.",,Quadrangle maps,,U.S. Geological Survey,,,,,Washington County,,1 sheet,1945,1945,hagerstown-quadrangle,
ARI 003,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Anacostia Park, D.C. -- Anacostia River, D.C.",,http://vocab.lib.umd.edu/form#maps,,,,Engineering maps,,U.S. Army Corps of Engineers,,Anacostia River,District of Columbia,,,,1 sheet,1945~,1945 (circa),anacostia-park-d.c.--,
BA 028,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Isometric Block Diagram Showing the Relation of the Piezometric Surface to the Patuxent Formation in the Baltimore Industrial Area, Maryland",,http://vocab.lib.umd.edu/form#maps,,Originally bound with: Maryland QE121.A25 no. 4.,,Geological map,,"Maryland. Dept. of Geology, Mines and Water Resources",,,,,Baltimore County,,1 sheet,1945,1945,isometric-block-diagram,
BA 031,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Map of Baltimore, Maryland Showing Water Wells",,http://vocab.lib.umd.edu/form#maps,,Originally bound with: Maryland QE121.A25 no. 4.,,Public Utility map,,"Maryland. Dept. of Geology, Mines and Water Resources.",,,,,Baltimore County,,2 sheets,1945,1945,map-of-baltimore-maryland002,
CB 010,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Erosion and Sedimentation - Eastern Chesapeake Bay at Choptank River,,http://vocab.lib.umd.edu/form#maps,,,,Coastal Zone Map,,"Jordan, G.F.",,Chesapeake Bay,,,,,1 sheet,1945,1945,erosion-and-sedimentation,
MAS 008,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Texaco Touring Map of Delaware-Maryland-Virginia-West Virginia with North Carolina,,http://vocab.lib.umd.edu/form#maps,,,,Tourist maps,,"Rand, McNally & Co.",,,Mid-Atlantic,,,,1 sheet,1945,1945,texaco-touring-map-of,
MO/PG 024,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Maryland: Beltsville Quadrangle,,http://vocab.lib.umd.edu/form#maps,,"Prepared in cooperation with Corps of Engineers, U.S. Army.",,Topographic maps,,Geological Survey (U.S.),,,,,Montgomery County,,1 sheet,1945,1945,maryland-beltsville,
PG 039,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Maryland: Washington East Quadrangle,,http://vocab.lib.umd.edu/form#maps,,,,Quadrangle maps,,Geological Survey (U.S.),,,,,Prince George's County,,1 sheet,1945,1945,maryland-washington-east,
AL 013,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Caves of Twiggtown, Allegany County",,http://vocab.lib.umd.edu/form#maps,,Orginally bound with: Maryland QE121.A25 no.7 1961.,,Geological map,,"Maryland Dept. of Geology, Mines and Water Resources",,,,,Allegany County,,2 sheets,1946/1948,1946,caves-of-twiggtown-allegany,
BC 037,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Map of Baltimore City, 1947-1948",,http://vocab.lib.umd.edu/form#maps,,,,Regional maps,,Baltimore (Md) Department of Planning,,,,,,Baltimore City,1 sheet,1946,1946,map-of-baltimore-city003,
BC 038,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Transportation Study: Baltimore Metropolitan Area, Zone Map",,http://vocab.lib.umd.edu/form#maps,,Originally bound with: Maryland HE372.B2 1946 v1 & v3.,,Transportation maps,,,,,,,,Baltimore City,1 sheet,1946~,1946 (circa),transportation-study,
BC 002,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Visitor's Map of Baltimore,,http://vocab.lib.umd.edu/form#maps,,,,Tourist map,,Baltimore Association of Commerce,,,,,,Baltimore City,1 sheet,1946,1946,visitor39s-map-of-baltimore,
BC 142,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Baltimore Town: A View Taken Westward along the Present Line of Lexington Street-about 1785,,http://vocab.lib.umd.edu/form#maps,,Includes envelope with original signed attachment to the map.,,Historical maps,,Edwin Tunis/The Fidelity Trust Company,,,,,,Baltimore City,1 sheet,1946,1946,baltimore-town-a-view,
BET 001,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map Showing Zoning Plan for the Central Business District of Bethesda,,http://vocab.lib.umd.edu/form#maps,,,,Zoning maps,,Maryland-National Capital Park and Planning Commission,,,,,,Bethesda,1 sheet,1946,1946,map-showing-zoning-plan,
DC 025,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Trees and Shrubs of Lafayette Park,,http://vocab.lib.umd.edu/form#maps,,2nd edition,,Forestry Map,,National Park Service (U.S.),,,District of Columbia,,,,1 sheet,1946,1946,trees-and-shrubs-of-lafayette,
KEN 002,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Kensington,,http://vocab.lib.umd.edu/form#maps,,,,Regional maps,,Maryland-National Capital Park and Planning Commission,,,,,,Kensington,1 sheet,1946,1946,kensington,
KEN 001,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Zoning Plan for the Town of Kensington, Maryland and Adjacent",,http://vocab.lib.umd.edu/form#maps,,Includes two copies.,,Zoning maps,,Maryland-National Capital Park and Planning Commission,,,,,,Kensington,1 sheet,1946,1946,zoning-plan-for-the-town,
PRI 013,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map Showing Access to Towpath Along Chesapeake and Ohio Canal Between Georgetown and Great Falls,,http://vocab.lib.umd.edu/form#maps,,,,Regional maps,,U.S. Dept. of Interior,,Potomac River,,,,,1 sheet,1946,1946,map-showing-access-to002,
PRI 004,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Proposed Minimum Water Quality Zones, Potomac Drainage Basin",,http://vocab.lib.umd.edu/form#maps,,,,Watershed maps,,Interstate Commission on the Potomac River Basin,,,,,,,1 sheet,1946,1946,proposed-minimum-water,
PG 016,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map of Prince George's County,,http://vocab.lib.umd.edu/form#maps,,,,Regional maps,,"Hienton, Louise Joyner",,,,,Prince George's County,,1 sheet,1946,1946,map-of-prince-george39s003,
PG 005,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map of Prince George's County Showing the Topography and Election Districts,,http://vocab.lib.umd.edu/form#maps,,,,Topographic maps,,"Maryland Dept. of Geology, Mines and Water Resources",,,,,Prince George's County,,3 sheets,1946~/1961,1946 (circa),map-of-prince-george39s004,
AA 034,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Maryland: Relay Quadrangle,,http://vocab.lib.umd.edu/form#maps,,,,Topographic maps,,United States Geological Survey,,,,,Anne Arundel County,,1 sheet,1947,1947,maryland-relay-quadrangle,
COL 002,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Proposed Zoning Plan for Colesville Road,,http://vocab.lib.umd.edu/form#maps,,,,Zoning Map,,Maryland-National Capital Park and Planning Commission,,,,,,Colesville,2 sheets,1947,1947,proposed-zoning-plan-for,
ES 001,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Historical Map of the Maryland Eastern Shore Published to Commemorate the 50th Anniversary of the Tilghman Packing Company,,http://vocab.lib.umd.edu/form#maps,,,,Historic Map,,"Tunis, Edwin.",,,,Eastern Shore,,,1 sheet,1947,1947,historical-map-of-the,
FR 014,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map of Frederick City,,http://vocab.lib.umd.edu/form#maps,,Editions from: 1947 and 1951,,Regional Map,,"Walter, W. R.",,,,,Frederick County,Frederick,2 sheets,1947/1951,1947,map-of-frederick-city,
KE 002,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map of Kent County Showing the Topography and Election Districts,,http://vocab.lib.umd.edu/form#maps,,,,Topographic Map,,"Maryland Department of Geology, Mines and Water Resources",,,,,Kent County,,1 sheet,1947,1947,map-of-kent-county-showing004,
PG 049,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Youth Recreation Activity and School Enrollment,,http://vocab.lib.umd.edu/form#maps,,,,Thematic maps,,Prince George's County,,,,,Prince George's County,,1 sheet,1947,1947,youth-recreation-activity,
ROC 007,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Zoning Plan, Rockville Pike, Bethesda to Rockville",,http://vocab.lib.umd.edu/form#maps,,,,Zoning maps,,Maryland-National Capital Park and Planning Commission,,,,,,Rockville,1 sheet,1947,1947,zoning-plan-rockville,
SS 004,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Map Showing the Zoning Plan for the Central Business District and Adjacent Area, Silver Spring, Maryland",,http://vocab.lib.umd.edu/form#maps,,,,Zoning maps,,Maryland-National Capital Park and Planning Commission,,,,,,Silver Spring,1 sheet,1947,1947,map-showing-the-zoning,
BA 015,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Topographic Map of Baltimore County,,http://vocab.lib.umd.edu/form#maps,,"Drawn 1948, revised 1969 & 1985.",,Topographic Maps,,Maryland Geological Survey,,,,,Baltimore County,,1 sheet,1948/1985,1948,topographic-map-of-baltimore,
BL 005,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Map & Directory, Cheverly, Prince George's Co., MD.",,http://vocab.lib.umd.edu/form#maps,,,,Regional maps,,"Marburger, J.H. Jr.",,,,,,Bladensburg,1 sheet,1948,1948,map-directory-cheverly,
CH 013,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Distributive Chart of the Forminifera, Southern Maryland Electric Cooperative Well, Charles County, Maryland",,http://vocab.lib.umd.edu/form#maps,,Originally bound with: Maryland QE121.A25 no. 3.,,Geological maps,,"Maryland Dept. of Geology, Mines and Water Resources",,,,,Charles County,,1 sheet,1948,1948,distributive-chart-of,
CB 002,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Preliminary Geologic Section, Sandy Point to Kent Island",,http://vocab.lib.umd.edu/form#maps,,Originally bound with: Maryland QE121.A25 no.12.,,Geological Map,,"Maryland Dept. of Geology, Mines and Water Resources",,Chesapeake Bay,,,,,1 sheet,1948,1948,preliminary-geologic-section,
COL 001,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Zoning Plan Colesville Road,,http://vocab.lib.umd.edu/form#maps,,,,Zoning Map,,Maryland-National Capital Park and Planning Commission,,,,,,Colesville,2 sheets,1948,1948,zoning-plan-colesville,
DC 008,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,A Pocket Map of Surburban Washington.,,http://vocab.lib.umd.edu/form#maps,,,,Tourist Map,,National Geographic Magazine.,,,District of Columbia,,,,1 sheet,1948,1948,a-pocket-map-of-surburban,
DO 011,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Distribution Chart of the Foraminifera, Dorchester Water Company.",,http://vocab.lib.umd.edu/form#maps,,Originally bound with: MD QE121.A25 no.3 (figure 13),,Geological Map,,"Maryland Dept. of Geology, Mines and Water Resources",,,,,Dorchester County,,1 sheet,1948,1948,distribution-chart-of,
ES 008,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Maps of Maryland Concrning Cretaceous and Tertiary Subsurface,,http://vocab.lib.umd.edu/form#maps,,"Map shows the statigraphy, paleontology, and sedimentology of three deep test wells on the Eastern Shore of Maryland.",,Geological Maps,,Maryland Dept. of Geology,,,,Eastern Shore,,,12 sheets,1948,1948,maps-of-maryland-concrning,
GA 012,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"John Friend's Cave, Sang Run, Garrett County",,http://vocab.lib.umd.edu/form#maps,,,,Regional maps,,"Maryland Department of Geology, Mines and Water Resources",,,,,Garrett County,,1 sheet,1948,1948,john-friend39s-cave,
GA 001,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"General Highway Map, Garrett County, Maryland",,http://vocab.lib.umd.edu/form#maps,,"Includes: 1948, 1961, 1965, 1968, 1970, 1973, 1982, and 1989.",,Transportation maps,,"Department of Transportation, Maryland State Roads Commission",,,,,Garrett County,,9 sheets,1948/1982,1948,general-highway-map-garrett,
HA 003,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map of Harford County Showing Topography and Election Districts(2),,http://vocab.lib.umd.edu/form#maps,,Copy 2 is a 1952 reprint.,,Topographic Map,,"Maryland. Dept. of Geology, Mines and Water Resources",,,,,Harford County,,2 sheets,1948/1952,1948,map-of-harford-county004,
HA 025,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Map of Harford County Showing the Location of Water Wells,,http://vocab.lib.umd.edu/form#maps,,Originally bound with Maryland GB705.M3M3 number 7 folio.,,Hydrologic maps,,Maryland Geological Survey,,,,,Harford County,,1 sheet,1948/1971,1948,map-of-harford-county005,
HA 023,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Topographic Map of Harford County,,http://vocab.lib.umd.edu/form#maps,,,,Topographic maps,,Maryland Geological Survey,,,,,Harford County,,2 sheets,"[1948, 1976]","1948, 1976",topographic-map-of-harford,
